reviewer_name,review_content,full_review_link,rating,review_time_information,reply_from_owner,reply_text
Nadine,Ich war an einem Wochenende für 2 Nächte beruflich in Berlin und hatte dieses Mal das Aspria gewählt um Sport- und Saunamöglichkeiten zu haben. Bei der Ankunft um kurz nach 18 Uhr stieß ich als erstes auf den Aushang dass &,https://goo.gl/maps/wMffkvPqiNWTegA3A,2,vor 2 Wochen,False,
Dieter H.,Kann die positiven Rezessionen (fast) alle bestätigen und möchte die Texte nicht wiederholen. Wir waren für zwei Nächte im Aspria und unsere Erwartungshaltung wurde nicht nur erfüllt sondern übertroffen. Besonders der nette und &,https://goo.gl/maps/6aEYat55h5nLSz96A,5,vor 4 Monaten,True,Wow Herzlichen Dank für dieses schöne Feedback&wir bleiben am Ball und freuen uns auf ein nächstes Mal. Herzlichst Sandra Schmalzried General Manager
Oliver Bauer,Hallo Wir waren 4 Tage dort man muss sagen es was schon ein schönes Hotel besonders &,https://goo.gl/maps/x82JJfVQSVEyFJqA7,4,vor einem Monat,True,Sehr geehrter Herr Bauer herzlichen Dank für Ihre Rückmeldung und die netten Worte. Wir haben zwischenzeitlich versucht herauszufinden warum Ihre Nachtruhe gestört wurde konnten aber in den Folgetagen kein Geräuschaufkommen feststellen. Beobachten das aber natürlich weiter. Nichtsdestotrotz möchte ich mein Bedauern ausdrücken dass dies Ihren Schlaf leider beeinflusst hat. Wir geben unser Bestes unseren Service aufrecht zu halten und zu überzeugen bzw. zu verbessern:) Mit allerbesten Grüßen Sandra Schmalzried General Manager Aspria Berlin
D Tr,Das Aspria ist leider nicht mehr das welches es vor der Pandemie war. Als Frau fühlt man sich in der Sauna und beim Training nicht mehr wohl weil man permanent von ekelhaften Typen angegafft wird. Selbst die langjährigen &,https://goo.gl/maps/tLb11M9V74jjNG2U9,2,vor 2 Monaten,True,Sehr geehrte Frau D Tr das Management hätte sich sehr gefreut wenn Sie Ihre Beobachtungen direkt weitergegeben hätten da uns am meisten daran gelegen ist dass unsere Mitglieder sich wohl fühlen und entspannt trainieren können. Leider ist dem Management nichts bekannt von permanenten Beschwerden. Nichts desto trotz habe ich meine Teams zu Ihrer Rückmeldung befragt und beauftragt Feedback bitte nachzugehen und es mir zu melden. Das wäre auch die produktivere Alternative gewesen der langjährigen Mitarbeiter mit denen Sie sich unterhalten haben denn es mag durchaus Mitglieder geben die sich nicht an die Etikette des Clubs halten und dann würden wir uns über konkretere Hinweise freuen. Gerne steht Ihnen hierfür das Membership Service Team oder ich - Sandra Schmalzried - als Management zur Verfügung. Ich wünsche Ihnen auf jeden Fall noch ein paar schöne entspannte Tage in unserem Club und stehe Ihnen gerne für ein persönliches Gespräch zur Verfügung herzlichen Gruß Sandra Schmalzried General Manager Aspria Berlin
Kai Reuter,Wir waren heute im DaySpa im Aspira. Sorry aber für 60¬ haben wirklich mehr erwartet. Weder Bademäntel noch Schlappen werden hier zur Verfügung gestellt. Wasser nach dem Saunieren auch Fehlanzeige das darf man sich dann im Bistro kaufen. &,https://goo.gl/maps/YTmhDuproTtZXTyf9,1,vor 3 Monaten,True,Vielen Dank für die Rückmeldung und Schilderung Ihrer Eindrücke. Es tut mir leid dass Sie den Club nicht in seiner vollen Gänze an Ihrem Tag nutzen konnten und der Start schon holprig war. Das Aspria ist ein ganzheitlicher Wellbeing Club und in den 60¬ Tageseintritt für Nicht-Mitglieder ist unter anderem auch unser Saunabereich mit Dachterrasse inklusive aber auch die Nutzung des beheizten 25 Meter Pool die Fitnessflächen und Kurse unseres vielfältigen Angebots. Außerdem ist es möglich den Aufenthalt noch mit z.B. einer Massage zu kombinieren. Auf unserer Webseite haben wir dazu mehr Informationen gerne prüfen wir hier nochmal ob diese unser Angebot entsprechend wiedergibt. Mit besten Grüßen Sandra Schmalzried General Manager Aspria Berlin
Ti nella,Eigentlich ganz gut aber: - Empfangsdamen waren etwas überfordert und es dauerte lange bis sie etwas regeln konnten. &,https://goo.gl/maps/4YK4pbcN7k9Pgedr8,3,vor einem Monat,True,Wir danken sehr für Ihr konstruktives Feedback. Wir setzen auf jeden Fall Ihre Punkte und die dazu gehörigen Standards im Club/Hotel nochmal auf den Prüfstand um eventuell Prozesse zu verbessern. Die Kollegen vor Ort stehen für direkte Anmerkungen und Wünsche gerne zur Verfügung um direkt zu helfen oder eine Alternative zu finden (Massagewünsche Bademäntel frische Eierspeisen Frühstücksbuffet&). Vielleicht dürfen wir Sie bei Ihrem nächsten Aufenthalt überzeugen. Herzlichst Sandra Schmalzried General Manager Aspria Berlin
G M,Vor einigen Jahren 5 Sterne der beste exklusivste Club der Stadt. Heute sicher im Vergleich zu anderen Studios immer noch groß mit vielfältigem Angebot aber seit einiger Zeit trotz neuem Investor wird peu a peu runtergespart. Geräte &,https://goo.gl/maps/erDxrN2kn1XTLu2f6,3,vor einer Woche,False,
Andreas von Richter,Schade eigentlich gutes Hotel und Sportclub aber Mgmt. Nicht grade Kundenfreundlich. Nach drei Übernachtungen (Rechnung über 500 Euro) für eine Stunde länger im Zimmer bis 13:00 Uhr; 12.5 Euro sogar eigentlich 25 Euro??,https://goo.gl/maps/Mg73eBb2DA6fa6FU8,3,vor einem Monat,True,Sehr geehrter Herr Von Richter wir freuen uns dass unser Angebot in Bezug auf die 'Hardware' Ihnen entgegenkommt und Sie Gast in unserem Hotel und Club sind. Es tut mir leid dass wir bzgl. einem späten Check-out dies nicht komplett ohne Aufpreis anbieten können. Die erste Stunde ist natürlich kostenfrei generell Check-out 11:00 Uhr und kostenfreie Verlängerung bis 12:00 Uhr auf Anfrage. Die Gebühr von 25¬ fällt dann für einen gewünschten Check-out bis 14:00 Uhr an. Wir hoffen dass aber das Ambiente und kostenfreie Sport- und Wellnessangebot in unserem Club Ihren Aufenthalt doch noch positiv abrundet. Herzlichen Gruß Sandra Schmalzried General Manager Aspria Berlin
Isabelle Thiele,Wir waren für eine Nacht im Hotel. Check-In verlief unkompliziert und schnell. Das Zimmer war gemütlich und im allgemeinen recht sauber bis auf vereinzelte Kalkflecken in der Dusche und auf dem Waschbecken. Außerdem wies der Schrank und der &,https://goo.gl/maps/RvrTHbLwKJ6TfMbX7,3,vor 5 Monaten,False,
Alina,Wir waren mit Baby (4 Monate) von Samstag auf Sonntag hier. Das Frühstück war für den Preis eine Vollkatastrophe Beim Bäcker hätte man besseres bekommen. Eine Frechheit Wir fanden auch die Rezeption ziemlich überfordert und es hat sehr &,https://goo.gl/maps/dzYNxnxWyMGBVvfF7,1,vor 6 Monaten,True,Hallo Alina erstmal danke für die Zeit uns eure Eindrücke zu schildern. Tut mir sehr leid dass wir mit unserem Fitness- und Wellness Hotel nicht wirklich euren Erwartungen gerecht werden konnten. Eure Punkte nehmen wir auf und prüfen diese gerne bzgl. Optimierungsmöglichkeiten. Mit den besten Grüßen Sandra Schmalzried General Manager
Frank Tom,War mal ein schönes Studio .. aber leider auf dem absteigenden Ast. Die Männertoiletten stinken seid Jahren viele Gäste telefonieren laut in den Übungsräumen Kurse teilweise nicht buchbar da überfüllt Radioübertragung an den Ergometern &,https://goo.gl/maps/q9nHdJve4Xi89FT78,2,vor 5 Monaten,False,
Marc Scharfmann,Der Service an der Rezeption eine Vollkatastrophe War da und das Personal war extrem unfreundlich frech und nicht hilfsbereit. Auf kein Wunsch wurde reagiert und auf jede Frage wurde kein Lösungsvorschlag abgegeben. Eine reine Katastrophe für den Preis und absolut nicht empfehlenswert,https://goo.gl/maps/zVLaHQP5C1im7MFr9,1,vor 5 Monaten,False,
Naitsabes G,Saunaaufenthalt war sehr gut. Es gab Handtücher am Empfang. Diverse Auswahl an Saunen und Möglichkeiten der Abkühlung. &,https://goo.gl/maps/NJXgzucw7MV9N4y66,5,vor 6 Monaten,True,Sebastian Das freut mein Team und mich sehr Komm doch einfach wieder:) wir würden uns freuen. Herzlichen Gruß Sandra Schmalzried General Manager
Andreas Deppert,Fitnessclub mit Hotel Wenn man wie wir gerne im Urlaub trainieren geht schwimmen und Sauna macht ist das Aspina ideal. Wirklich toll. Die Lage ist auch o.k. &,https://goo.gl/maps/Ya5qArxnhrhDMgFAA,3,vor 5 Monaten,False,
M140i,Wir waren an diesem Sonntag für eine Übernachtung im Aspria zu Gast aufgrund des Coldplay konzertes in Berlin. &,https://goo.gl/maps/qyGphYLQ1LSdm6t17,4,vor 5 Monaten,True,Herzlichen Dank für eure Rückmeldung Familie M140i und Hinweise. Unser Team an der Rezeption stellt sich grade neu zusammen&wir möchten uns daher für die Turbulenzen entschuldigen und danken für Ihr Verständnis. Bis zum nächsten Konzertaufenthalt bei uns ;) Sandra Schmalzried General Manager
Michael Mühlstädt,Wir hatten zu dritt ein rollstuhlgerechtes Zimmer für 3 Tage und waren sehr zufrieden. Das Zimmer ist sehr geräumig und auch das Bad ist groß genug für einen Rollstuhlfahrer. Es gibt allerdings keinen Duschsitz.,https://goo.gl/maps/5CdU45EiKs6vTqsZ9,5,vor 6 Monaten,True,Ach wie schön herzlichen Dank und toll dass es Ihnen bei uns gefallen hat. Duschsitz ist notiert die Anschaffung sollte kein Problem sein :) Herzlichen Gruß Sandra Schmalzried General Manager
Pio P,Fürs Sport perfekt geeignet. Viele Geräte die über 3 Etagen verteilt sind. Auch der Wellness-Bereich ist sehr schön und großzügig,https://goo.gl/maps/C1fcb1wxtfDaLMZW7,5,vor 5 Monaten,True,Wunderbar&das freut uns wirklich dass wir hier mit unserem Konzept überzeugen konnten. Herzlichen Gruß Sandra Schmalzried General Manager Aspria Berlin
K. Franz W.,Ein riesiges First-rate Wellnesshotels aber auch aufgrund seiner Lage nahe am Kurfürstendamm (ca. 300m) ein Hammer Sightseeing Hotel. &,https://goo.gl/maps/aYQ5ruBZ1yBK8ReLA,5,vor 5 Monaten,False,
Doreen Harner,Die Zimmer waren ordentlich sauber und sehr modern ausgestattet. Als Hotelgast kann man den Fitnessbereich nutzen. Einzige Minuspunkt ist das Frühstück die Auswahl ist für den Preis recht schmal.,https://goo.gl/maps/fGJDMGqwMa9P7iSR8,4,vor 7 Monaten,True,4 Sterne sind ein mega Lob&danke für dein Feedback wir nehmen das gerne in unsere Pläne mit auf. Beste Grüße Sandra Schmalzried General Manager Aspria Berlin
F Beltemps,Bester Fitnessclub der Stadt mit Schwimmbad und reichhaltigem Spa Angebot. Die Arroganz einiger Mitarbeiter und Personal Trainer ist zwar zum Teil etwas nervig aber wer in erster Linie trainieren möchte wird in Berlin keinen besseren Club finden. Gehobene Leistung zu gehobenen Preisen...,https://goo.gl/maps/wsUjF34f81kiKWfE6,4,vor 7 Monaten,True,Mega großes Dankeschön&wir arbeiten am 5. Stern und das wirklich gerne ohne Arroganz&empathisch und gemeinsam ist uns lieber. Bleib uns wohl gesonnen Sandra Schmalzried General Manager Aspria Berlin
Joe Wiesel,Stylisch aber nicht immer praktisch. Zimmer sehr schön und Frühstück super. Lange Schlangen an der Rezeption da viele SPA-Gäste kommen.,https://goo.gl/maps/Ttcv3d5W4PyJy6No8,5,vor 5 Monaten,True,Lieben Dank für wunderbare 5 Sterne und euer Verständnis. Freuen uns dass ihr euch wohl gefühlt habt Sandra Schmalzried General Manager Aspria Berlin
Maria Spittler,Sehr Große Terrasse aber kein Platz für Raucher Eine rauche Ecke bringt die Menschen zu Kommunizieren. Ich würde gerne mehr Zeit in Aspria verbringen aber die Alternative rausgehen und auf der Straße rauchen gefällt mir nicht. Vielleicht ändert sich was demnächst Sonst muss ich leider kündigen.,https://goo.gl/maps/ZEq5DkPYnzPQzvRs5,3,vor 8 Monaten,False,
Frank Neuburg,WEGEN REICHTUM GESCHLOSSEN (?) Seit rund einer Woche habe ich jetzt versucht mit dem Aspria Berlin Kontakt aufzunehmen weil ich dort Mitglied werden wollte. Ich habe E-Mails geschrieben und &,https://goo.gl/maps/KHbzZU6PshJ3mbUD6,1,vor 9 Monaten,False,
Quirin Stöger,das gym ist viel zu teuer für das was es bietet. Es hat nur wenige Geräte und diese sind nicht sonderlich gut. Für Bodybuilding ist es also sehr schlecht. Der Pool ist ganz okay. Jedoch für den Preis nicht ausreichend.,https://goo.gl/maps/5SLTio87wU1i1ibx6,2,vor 7 Monaten,False,
Sonja Rückert,Seit 14 Jahren bin ich ein sehr zufriedenes Mitglied im Aspria Hannover und genieße den Erholungswert des Clubs mehrmals die Woche. Aus geschäftlichen Gründen reiste ich dieses Wochenende nach Berlin und entschied mich für eine Übernachtung &,https://goo.gl/maps/eDhtSCf5AmE1b9xq6,1,vor 9 Monaten,False,
Hendrik S.,Aspria Berlin hat im Hotel echt nachgelassen. Wir haben mehrere Zimmer gebucht um die Familie unterzubringen. Einige Zimmer Klimaanlage gefekt und das im Hitze Sommer 2022 &,https://goo.gl/maps/rti4BESZR6uDmd2bA,3,vor 5 Monaten,False,
Alfred Schmid,Nette Bedienstete und die Zimmer sind auch schön groß sauber und eigentlich hübsch. Der Zugang zu den Zimmern erfolgt durch das Spa . Was gar nicht geht ist das Frühstück furchtbar &,https://goo.gl/maps/EMV6FDRf1jznoYNV7,3,vor 7 Monaten,False,
Nadin Sophie A.,Meine Freundin und ich haben vier Tage das Hotel gebucht. Das Hotel ist sauber jedoch sehr einfach aufgebaut. Leider wurde bei uns die Seife im Zimmer nicht aufgefüllt was ich zu Coronazeiten etwas bedenklich finde. Das &,https://goo.gl/maps/rJg9WBkqpjgK5bbc9,3,vor einem Jahr,True,Danke für das ausführliche Feedback - die Punkte sind bereits notiert und natürlich soweit möglich auch schon umgesetzt. Z.B. ist seit 1 Woche nun auch wieder die Möglichkeit gegeben sich die Scheibe Käse selber zu nehmen (aufgrund Corona waren wir da bisher noch vorsichtig) - dafür gebe ich euch total Recht hätte dann aber auch die Seife in ausreichender Menge zur Verfügung gestellt werden müssen. Wir danken für euer Verständnis und hoffen trotzdem auf ein Wiedersehen bis dahin mit herzlichen Grüßen Sandra Schmalzried General Manager Aspria Berlin
RAW 01,Ist nicht am Kudamm wie beschrieben sondern in Seitenstrasse wo man keine Parkplätze bekommt. &,https://goo.gl/maps/pvhdCZwn1c9QLS2Q9,3,vor 2 Monaten,True,Hallo RAW01 freut uns dass du zu uns in die Karlsruher Str. 20 gefunden hast. Es ist tatsächlich eine Nebenstraße zum Kudamm und es ist schade dass du nicht unsere Parkplätze bzw Tiefgarage (Einfahrt von Karlsruher Straße/ neben Haupteingang zum Club) genutzt hast. Vielleicht beim nächsten Mal und dann startet der Besuch auf jeden Fall schon mal entspannt und wir geben alles um den Service bis zum Schluss hoch zu halten& Herzlichen Gruß Sandra Schmalzried General Manager Aspria Berlin
Alexander Hollmann,Lohnt sich nur wenn man Fußball spielt oder gerne schwimmt aber nicht wenn man wirklich Fitness machen will,https://goo.gl/maps/hxUGYYyTPMGF9BMy5,3,vor einem Monat,True,Sehr geehrter Herr Hollmann genau das zeichnet uns aus dass für jeden etwas dabei ist. Wenn Sie für sich Ihren Sport/Ausgleich beim Fußball und Schwimmen gefunden haben um sich fit zu halten bestens. Da das Angebot in unserem Club sehr breit gefächert ist haben wir aber doch auch einige Mitglieder die unser vielfältiges Kursangebot mehrfach die Woche in Anspruch nehmen um sich auszupowern oder Energie zu finden und / oder die Zeit im Saunabereich nutzen und entspannen. Andere scheinen doch auch unsere 3 Fitnessräume aufzusuchen für Hanteltraining Cardio Bodyweight...so kann jeder individuell nach seinen Bedürfnissen bei uns sein Training absolvieren. Wir wünschen Ihnen weiterhin viel Spaß beim Fußball bzw. Schwimmen herzlichst Sandra Schmalzried General Manager Aspria Berlin
Alexander Jeske,Alle Mitarbeiter mit denen ich Kontakt hatte waren sehr freundlich. Allerdings finde ich den Mitgliedsbeitrag viel zu hoch angesetzt. Positiv: &,https://goo.gl/maps/jtcKpcr3BdCwmRhd6,3,vor einem Jahr,False,
Filip P. Schwarz,Fitness Club mit großen Ambitionen und mäßiger Umsetzung. Preise stellen exklusiven Auftritt und Service in Aussicht in Tat und Wahrheit ist es eine Fabrik. Kursangebot seit Corona schlecht. Kundenbetreuung quasi nicht existent. Mehrere &,https://goo.gl/maps/khzB87imFDfkCCn26,2,vor 9 Monaten,False,
Norman Liersch,Zu groß seht lange kein Flair und sehr anonym aber dafür sehr teuer. Mal schnell zum Sport funktioniert da nicht so gut.Der spa Bereich ist sehr schön. Alles in allem habe ich nach 3 Monaten direkt wieder gekündigt da es deutlich bessere Studios gibt.,https://goo.gl/maps/EAaKfryFrxRGDrNH9,2,vor 10 Monaten,True,Hallo Norman vielen Dank für deine Eindrücke. Natürlich finden wir es sehr schade dass wir dich nicht überzeugen konnten. Nichtsdestotrotz nehmen wir uns dein Feedback zu Herzen und werden daran arbeiten. Mit bestem Gruß Sandra Schmalzried General Manager Aspria Berlin
Sabina Maria Legat,Bin mega happy hier zu sein Tolle ambitionierte Trainer mit Geduld Fachwissen und Charme abwechslungsreiche Kurse hier kann man wirklich alles machen - vom Schwimmen Boxen bis zu Hardcore Kursen ( die ich sehr liebe ) bei Bianca und &,https://goo.gl/maps/WHnz2WmdZ9rDP5hr8,5,vor 8 Monaten,False,
Josef Gordon,Das Studio ist toll Auf einem sehr hohen Niveau und es gibt vielen Angebote. Leider lässt der Kundenservice sehr zu wünschen übrig. Dementsprechend haben wir uns für was anderes entscheiden.,https://goo.gl/maps/UjZBbMo5pjS7v71K8,1,vor 8 Monaten,False,
Maksim Chernykh,Bin 4 mal im Club bis jetzt niemand von Mitarbeiter hat mir hallo gesagt& obwohl ich wie ein wohlerzogener Mensch es immer mache& das wundert mich besonders in so einen luxuriöse Club. Und zum luxuriöse- club ist veraltet altmodisch &,https://goo.gl/maps/6B3GtWQiNb7zHW919,1,vor 9 Monaten,True,Hallo Maksim vielen Dank für deine Rückmeldung und deine Eindrücke. Unser Fokus liegt auf jedem einzelnen unserer Mitglieder und sollte dieser grade nicht auf einem anderen Mitglied liegen begrüßen und grüßen wir sehr gerne. Wir arbeiten stetig an unserem Club und bedauern es sehr dass wir nicht ganz ihren Erwartungen entsprechen. Natürlich nehme ich ihr Feedback mit in unsere Planungsmeetings. Mit herzlichem Gruß Sandra Schmalzried General Manager Aspria Berlin
Thorsten Jurczak,Ein toller Fitness Center mit Übernachtungsmöglichkeit. Aber Hotel da fehlt es doch an den Basics. Man bekommt als Ehepaar nur eine Zugangskarte. Die Tische schmutzig. Das Personal räumt beim Frühstück die leeren Tassen nicht ab. Usw.,https://goo.gl/maps/bCbbNYyMB9aAoNTy9,1,vor einem Jahr,True,Sehr geehrter Herr Jurczak erstmal freuen wir uns sehr dass unser Kernprodukt - der Club mit seinen Fitnessmöglichkeiten Sauna und Pool - Ihnen Freude bereitet hat und ich hoffe Sie konnten die Bereiche alle nutzen. In der Tat ist es nicht vorgesehen dass wir nur eine Hotelkarte rausgeben für zwei Personen und natürlich auch nicht dass weitere Basics wohl an dem Tag nicht so wirklich stimmten. Gerne nehmen wir aber Ihr Feedback noch mal als Anlass um genau diese Basics mit den Abteilungen zu besprechen. Ich danke für Ihre Rückmeldung und Anmerkungen und hoffe natürlich sehr dass Sie unseren Club trotzdem auch in Zukunft noch mal für einen Aufenthalt in Erwägung ziehen. Mit herzlichen Grüßen Sandra Schmalzried General Manager
Steffen Hammerby,Sehr schönes Zimmer zum entspannen und wohlfühlen Der Spa ist top,https://goo.gl/maps/aszR5a3GJ888PcnX7,5,vor 3 Monaten,True,Wir haben zu danken Freuen uns sehr über das Feedback bis zum nächsten Mal herzlichst Team Aspria Berlin Sandra Schmalzried General Manager
Jonas Korth,Sehr schöne Zimmer super Extras mit Sauna und Fittnesbereich. Hier kann man gut runterkommen. Immer freundliches Personal. Leider ging das Wlan nur schlecht und das Bad war teilweise etwas verkalkt.,https://goo.gl/maps/WH1FWg7zeitDdVaW6,4,vor einem Jahr,True,Ohhh Herr Korth herzlichen Dank Wir freuen uns dass Sie Aspria mit all seinen Vorzügen genießen konnten. Ihre Punkte zur Verbesserung gehen wir an. Herzliche Grüße Sandra Schmalzried General Manager
Peter Berndt,Die Zimmer sind sehr gut das Frühstück ist allerdings nicht empfehlenswert Auswahl äußerst mangelhaft nicht so wie man für diesen Preis erwarten kann,https://goo.gl/maps/QxivFchbagktobhX6,3,vor 6 Monaten,True,Sehr geehrter Herr Berndt schön dass Ihr Aufenthalt zumindest durch unsere Zimmer positiv in Erinnerung bleibt. Ihr Feedback zum Frühstück nehmen wir gerne auf und gehen dem nach. Wir hoffen Sie konnten auch das Sport- und Saunaangebot nutzen und sich einen Eindruck verschaffen? Freuen uns sehr wenn wir Sie nochmal ein weiteres Mal in unserem Haus begrüßen dürften. Mit einem herzlichen Gruß Sandra Schmalzried General Manager Aspria Berlin
